president|link
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10782-declaracao-do-presidente-da-republica-luiz-inacio-lula-da-silva-a-imprensa-apos-reuniao-plenaria-da-iii-cupula-brasil-uniao-europeia-estocolmo-6-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10783-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-sessao-de-encerramento-da-iii-cupula-brasil-uniao-europeia-estocolmo-06-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10784-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-sessao-de-apresentacao-da-candidatura-rio-2016-ao-comite-olimpico-internacional-coi-copenhague-02-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10805-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10806-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-plenaria-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10807-terceira-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10808-segunda-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10811-primeira-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10813-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-debate-geral-da-64-sessao-da-assembleia-geral-das-nacoes-unidas-nova-york-23-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10814-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-entrega-do-premio-woodrow-wilson-for-public-service-nova-york-21-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10815-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-ao-presidente-do-malawi-bingu-wa-mutharika-palacio-itamaraty-16-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10816-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-inauguracao-da-ponte-binacional-sobre-o-rio-itacutu-boa-vista-14-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10818-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-acordo-de-cooperacao-em-tv-digital-entre-brasil-e-argentina-bariloche-28-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10819-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-reuniao-extraordinaria-do-conselho-de-chefes-de-estado-e-de-governo-da-uniao-de-nacoes-sul-americanas-unasul-bariloche-28-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10820-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-atos-chimore-22-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10821-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-encontro-com-o-presidente-de-serra-leoa-ernest-bai-koroma-palacio-itamaraty-19-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10822-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-em-conjunto-com-o-presidente-do-mexico-felipe-calderon-por-ocasiao-de-cerimonia-de-assinatura-de-atos-palacio-itamaraty-17-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10824-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-abertura-da-3-reuniao-ordinaria-do-conselho-de-chefes-de-estado-e-de-governo-da-uniao-de-nacoes-sul-americanas-unasul-quito-10-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10826-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-simposio-internacional-politicas-sociais-para-o-desenvolvimento-superar-a-pobreza-e-promover-a-inclusao-brasilia-alvorada-hotel-07-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10827-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-simposio-internacional-politicas-sociais-para-o-desenvolvimento-superar-a-pobreza-e-promover-a-inclusao-brasilia-alvorada-hotel-05-de-agosto-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11025-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-sessao-de-encerramento-do-seminario-empresarial-brasil-chile-sao-paulo-sp-30-07-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11028-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-visita-oficial-do-presidente-da-nigeria-umaru-yar-adua-palacio-itamaraty-brasilia-df-29-07-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11030-declaracao-a-imprensa-concedida-pelo-presidente-da-republica-luiz-inacio-lula-da-silva-apos-cerimonia-de-assinatura-de-atos-assuncao-25-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11033-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-a-37-cupula-do-mercosul-sobre-a-gripe-influenza-a-h1n1-assuncao-paraguai-24-07-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11034-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-37-cupula-do-mercosul-assuncao-24-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11036-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-a-visita-de-estado-do-presidente-de-mocambique-armando-guebuza-palacio-itamaraty-21-07-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11039-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-encontro-de-trabalho-com-o-conselho-diretor-do-banco-do-brasil-brasilia-20-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11041-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-anuncio-de-investimentos-da-general-motors-do-brasil-brasilia-15-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11042-declaracao-a-imprensa-concedida-pelo-presidente-da-republica-luiz-inacio-lula-da-silva-em-conjunto-com-os-demais-lideres-do-g-5-l-aquila-08-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11043-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-entrega-do-premio-felix-houphouet-boigny-pela-busca-da-paz-paris-07-de-julho-de-2009
